word	old20 score (based on the top 35502 lemmas in sdewac)
Zwischenraum	12.0
Sprung	6.0
Dunkeln	7.0
Felsen	6.0
Licht	5.0
Vorhang	7.0
Stoff	5.0
Diktator	8.0
Mittel	6.0
Angehörige	10.0
Spezies	7.0
Form	4.0
Größe	5.0
Farbe	5.0
Spaß	4.0
Treppe	6.0
Brücke	6.0
Turm	4.0
Wiese	5.0
Einzige	7.0
Einlaß	6.0
Musik	5.0
Küche	5.0
Park	4.0
Aufzug	6.0
Lager	5.0
Hund	4.0
Fenster	7.0
Kronprinz	9.0
Fuß	3.0
Gast	4.0
Teich	5.0
Profit	6.0
Arbeit	6.0
Atemzug	7.0
Sonne	5.0
Lebensabend	11.0
Schweiß	7.0
Wahl	4.0
Mahlzeit	8.0
Platz	5.0
Leid	4.0
Nachwuchs	9.0
Vorwurf	7.0
Unverständnis	13.0
Gelegenheit	11.0
Besuch	6.0
Ordnung	7.0
Unterhaltung	12.0
Oberfläche	10.0
Seite	5.0
Flasche	7.0
Sekunde	7.0
Zufall	6.0
See	3.0
Elfe	4.0
Mißgeschick	11.0
Vergnügen	9.0
Direktor	8.0
Polizist	8.0
Finanz	6.0
Turner	6.0
Art	3.0
Denken	6.0
Studieren	9.0
Beton	5.0
Dunst	5.0
Müdigkeit	9.0
Ziel	4.0
Alternative	11.0
Welt	4.0
Tätowierung	11.0
Bahnhof	7.0
Betrieb	7.0
Ende	4.0
Landung	7.0
Morgen	6.0
Überraschung	12.0
Gedanke	7.0
Mutter	6.0
Schuld	6.0
Schicksal	9.0
Bild	4.0
Anfang	6.0
Schritt	7.0
Abend	5.0
Luft	4.0
Schreck	7.0
Glied	5.0
Baum	4.0
Fehler	6.0
Vortag	6.0
Koffer	6.0
Wahrheit	8.0
Antwort	7.0
Mark	4.0
Arbeiterin	10.0
Geräusch	8.0
Situation	9.0
Spektakel	9.0
Ursache	7.0
Bauchschmerz	12.0
Übelkeit	8.0
Ärztin	6.0
Sein	4.0
Berechtigung	12.0
Troll	5.0
Prinzessin	10.0
Lösung	6.0
Vorliebe	8.0
Straße	6.0
Land	4.0
Weise	5.0
Flüssigkeit	11.0
Korn	4.0
Wille	5.0
Schlaf	6.0
Frage	5.0
Aufmerksamkeit	14.0
Amt	3.0
Bitte	5.0
Buchstabe	9.0
Satz	4.0
Grund	5.0
Gegend	6.0
Schauplatz	10.0
Dämpfer	7.0
Abendessen	10.0
Heimfahrt	9.0
Magen	5.0
Bewährungsprobe	15.0
Gang	4.0
Wald	4.0
Wind	4.0
Tornado	7.0
Anstrengung	11.0
Teddy	5.0
Pflegefamilie	13.0
Herz	4.0
Strafe	6.0
Einbruch	8.0
Biß	3.0
Anblick	7.0
Enkelin	7.0
Penner	6.0
Freundschaft	12.0
Bearbeiter	10.0
Gespräch	8.0
Überfall	8.0
Tankstelle	10.0
Vorlesen	8.0
Ufer	4.0
Erlebnis	8.0
König	5.0
Stunde	6.0
Krankheit	9.0
Entscheidungsfreiheit	21.0
Verhaltensweise	15.0
Kleingeld	9.0
Winter	6.0
Hindernis	9.0
Pullover	8.0
Komplexe	8.0
Re	2.0
Bahn	4.0
Feuer	5.0
Freund	6.0
Realität	8.0
Blitz	5.0
Psychiater	10.0
Los	3.0
Gelächter	9.0
Gatte	5.0
Punkt	5.0
Feierlichkeit	13.0
Tal	3.0
Trauer	6.0
Mieter	6.0
Krankenhaus	11.0
Wendung	7.0
Bedenken	8.0
Qual	4.0
Zimmer	6.0
Tropfen	7.0
Angst	5.0
Reh	3.0
Flucht	6.0
Griff	5.0
Handgelenk	10.0
Gebüsch	7.0
Erkenntnis	10.0
Elf	3.0
Krieg	5.0
Abteil	6.0
Unglück	7.0
Grinsen	7.0
Schlüssel	9.0
Zustand	7.0
Konzentration	13.0
Intensivstation	15.0
Böse	4.0
Beruf	5.0
Gepäck	6.0
Brust	5.0
Vergangenheit	13.0
Nähe	4.0
Wissen	6.0
Erwachen	8.0
Gegenteil	9.0
Fall	4.0
Glück	5.0
Preis	5.0
Gebäude	7.0
Auskunft	8.0
Band	4.0
Krönung	7.0
Schriftzeichen	14.0
Herr	4.0
Mädchen	7.0
Gefallen	8.0
Schlimmste	10.0
Ritual	6.0
Zusammentreffen	15.0
Kraft	5.0
Angebot	7.0
Architekturbüro	15.0
Heimat	6.0
Sand	4.0
Vergleich	9.0
Reise	5.0
Tatsache	8.0
Mama	4.0
Körper	6.0
Jacke	5.0
Höhe	4.0
Tiefe	5.0
Freude	6.0
Problem	7.0
Schwerkraft	11.0
Karte	5.0
Pfütze	6.0
Hilfe	5.0
Mut	3.0
Chance	6.0
Bessere	7.0
Film	4.0
Ausdruck	8.0
Alptraum	8.0
Wirklichkeit	12.0
Anhänger	8.0
Konto	5.0
Monat	5.0
Haß	3.0
Dirigent	8.0
Inhalt	6.0
Flur	4.0
Teppich	7.0
Hauptgrund	10.0
Herrscher	9.0
Vorschlag	9.0
Sprache	7.0
Höhepunkt	9.0
Persönlichkeit	14.0
Kleine	6.0
Miene	5.0
Lohn	4.0
Dankbarkeit	11.0
Geruch	6.0
Minute	6.0
Gute	4.0
Nagel	5.0
Name	4.0
Melodie	7.0
Plan	4.0
Rahmen	6.0
Schmerz	7.0
Schnee	6.0
Tiger	5.0
Tante	5.0
Gefolgsleute	12.0
Ton	3.0
Sender	6.0
Traum	5.0
Rose	4.0
Begriff	7.0
Abschied	8.0
Tumult	6.0
Typ	3.0
Stuhl	5.0
Unfall	6.0
Versuch	7.0
Wärter	6.0
Nebel	5.0
Wunsch	6.0
Ausführung	10.0
Zauberer	8.0
Leute	5.0
Dame	4.0
Energie	7.0
Auftrag	7.0
Eltern	6.0
Enkel	5.0
Oma	3.0
Erleichterung	13.0
Entsetzen	9.0
Bruder	6.0
Finger	6.0
Erwartung	9.0
Frosch	6.0
Maulwurf	8.0
Gier	4.0
Macht	5.0
Glut	4.0
Hemmschwelle	12.0
Wesen	5.0
Hexe	4.0
Seele	5.0
Gott	4.0
Rast	4.0
Leiche	6.0
Geheimnis	9.0
Liebe	5.0
Schüler	7.0
Held	4.0
Entschlossenheit	16.0
Nachbarin	9.0
Insel	5.0
Wegweiser	9.0
Straßenrand	11.0
Natur	5.0
Besondere	9.0
Königreich	10.0
Widerspruch	11.0
Sichtweite	10.0
Unabhängigkeit	14.0
Welle	5.0
Geist	5.0
Münze	5.0
Ziege	5.0
Schwiegertochter	16.0
Enkelkind	9.0
Unwesen	7.0
Sehnsucht	9.0
Experte	7.0
Model	5.0
Bericht	7.0
Bus	3.0
Haltestelle	11.0
Einwand	7.0
Woche	5.0
Schreibtisch	12.0
Mühe	4.0
Stimme	6.0
Dorf	4.0
Lächeln	7.0
Emotion	7.0
Schublade	9.0
Gehirn	6.0
Schnelle	8.0
Revier	6.0
Ähnliche	8.0
Duft	4.0
Klang	5.0
Verlegenheit	12.0
Dunkelheit	10.0
Soldat	6.0
Gewehr	6.0
Stille	6.0
Vierteljahrhundert	18.0
Erfahrung	9.0
Autorität	9.0
Wirkung	7.0
Störung	7.0
Futter	6.0
Ausblick	8.0
Kälte	5.0
Wildschwein	11.0
Zauberei	8.0
Lauf	4.0
Aufsehen	8.0
Gemüse	6.0
Neue	4.0
Rang	4.0
Geschichte	10.0
Kindheit	8.0
Heilige	7.0
Märtyrer	8.0
Keks	4.0
Transportmittel	15.0
Misere	6.0
Spiegel	7.0
Kutsche	7.0
Spaziergang	11.0
Innenstadt	10.0
Schwangerschaft	15.0
Langeweile	10.0
Fußball	7.0
Bürgermeister	13.0
Wand	4.0
Risiko	6.0
Strom	5.0
Zuschauer	9.0
Wunder	6.0
Engel	5.0
Dasein	6.0
Epilepsie	9.0
%	2.0
Bevölkerung	11.0
Erkrankung	10.0
Blut	4.0
Zuhause	7.0
Rollstuhl	9.0
Recht	5.0
Teufel	6.0
Bett	4.0
Kontinent	9.0
Ungewöhnliche	13.0
Pflicht	7.0
Stern	5.0
Anerkennung	11.0
Training	8.0
Disziplin	9.0
Stelle	6.0
Leidenschaft	12.0
Kontakt	7.0
Bier	4.0
Feind	5.0
Boden	5.0
Flug	4.0
Ästhetik	8.0
Bann	4.0
Hauch	5.0
Frost	5.0
Kleinstadt	10.0
Atmosphäre	10.0
Flughafen	9.0
Wende	5.0
Irrtum	6.0
Verzicht	8.0
Frust	5.0
Text	4.0
Lage	4.0
Ausmaß	6.0
Parkplatz	9.0
Überlegung	10.0
Trost	5.0
Blinde	6.0
Hölle	5.0
Affäre	6.0
Zauberspruch	12.0
Kochen	6.0
Masse	5.0
Faden	5.0
Spiel	5.0
Schwester	9.0
Patientin	9.0
Kaufmann	8.0
Unvereinbarkeit	15.0
Forst	5.0
Konstellation	13.0
Benehmen	8.0
Geschwister	11.0
Brief	5.0
Aktivität	9.0
Sicherheit	10.0
Echo	4.0
Hauptperson	11.0
Storch	6.0
Nein	4.0
Umfeld	6.0
Ablenkung	9.0
Fassade	7.0
Dynamik	7.0
Ruine	5.0
Menge	5.0
Absage	6.0
Heiterkeit	10.0
Veränderung	11.0
Leere	5.0
Eile	4.0
Ring	4.0
Rechnung	8.0
Adresse	7.0
Telefonnummer	13.0
Fleisch	7.0
Gedankengang	12.0
Eingang	7.0
Gewißheit	9.0
Innere	6.0
Bein	4.0
Blei	4.0
Geduld	6.0
Verwirrung	10.0
Rätsel	6.0
Unendliche	10.0
Stillschweigen	14.0
Unterwerfung	12.0
Zweifel	7.0
Vogel	5.0
Norden	6.0
Schlafzimmer	12.0
Unterschied	11.0
Sandstrand	10.0
Magie	5.0
Gegenwart	9.0
Rind	4.0
Regel	5.0
Aufenthalt	10.0
Bedauern	8.0
Lebewesen	9.0
Unheil	6.0
Funktion	8.0
Bemühung	8.0
Abneigung	9.0
Heim	4.0
Milde	5.0
Hoffnung	8.0
Königssohn	10.0
Schnauze	8.0
Kram	4.0
Baracke	7.0
Kreuzung	8.0
Schlange	8.0
Treffen	7.0
Element	7.0
Thema	5.0
Stellenwert	11.0
Freundin	8.0
Friseur	7.0
Gefahr	6.0
Malaria	7.0
Mücke	5.0
Arm	3.0
Wagen	5.0
Linke	5.0
Scheune	7.0
Urlaub	6.0
Frechheit	9.0
Zeitpunkt	9.0
Läufer	6.0
Laut	4.0
Lippe	5.0
Keller	6.0
Dank	4.0
Gleichgesinnten	15.0
Diplomatie	10.0
Halluzination	13.0
Erde	4.0
Reihe	5.0
Volk	4.0
Eintracht	9.0
Register	8.0
Vorschein	9.0
Anwesen	7.0
Weihnachtsmann	14.0
Computer	8.0
Zuhilfenahme	12.0
Bildschirm	10.0
Schrank	7.0
Fähigkeit	9.0
Schwert	7.0
Scheide	7.0
Fahrt	5.0
Neugier	7.0
Furcht	6.0
Lady	4.0
Eröffnung	9.0
Restaurant	10.0
Vorstellung	11.0
Treiben	7.0
Vorort	6.0
Egoismus	8.0
Zug	3.0
Maske	5.0
Achtung	7.0
Bewunderung	11.0
Mitmensch	9.0
Ort	3.0
Kalender	8.0
Sonntag	7.0
Dienstag	8.0
Anruf	5.0
Forschung	9.0
Distanz	7.0
Ablauf	6.0
Schwäche	8.0
Partner	7.0
Eigenart	8.0
Aspekt	6.0
Kindesalter	11.0
Geselle	7.0
Westen	6.0
Route	5.0
Eintrag	7.0
Dezember	8.0
Vorführung	10.0
Herrschaft	10.0
Prozedur	8.0
Patient	7.0
Entdeckung	10.0
Unruhe	6.0
Taschentuch	11.0
Bruchteil	9.0
Sau	3.0
Meer	4.0
Symbiose	8.0
Phase	5.0
Szenario	8.0
Ruhm	4.0
Unmut	5.0
Betrachten	10.0
Tat	3.0
Lust	4.0
Markt	5.0
Not	3.0
Bewohner	8.0
Bekanntschaft	13.0
Pause	5.0
Funke	5.0
Programm	8.0
Umgebung	8.0
Rückkehr	8.0
Finsternis	10.0
Zeitvertreib	12.0
Enttäuschung	12.0
Ausbruch	8.0
Geschöpf	8.0
Chauffeur	9.0
Ball	4.0
Nebenraum	9.0
Journalist	10.0
Hof	3.0
Familie	7.0
Schreiber	9.0
Gefühlswelt	11.0
Antlitz	7.0
Standpunkt	10.0
Gebrauch	8.0
Bilanz	6.0
Verteidiger	11.0
Wasseroberfläche	16.0
Hülle	5.0
Pflanze	7.0
Türe	4.0
Monitor	7.0
Kammer	6.0
Einsatz	7.0
Vorfall	7.0
Notiz	5.0
Deutlichkeit	12.0
Heilung	7.0
Opfer	5.0
Ankunft	7.0
Speer	5.0
Post	4.0
Geringste	9.0
Dollar	6.0
Religion	8.0
Sorte	5.0
Mitschüler	10.0
Semester	8.0
Studium	7.0
Idee	4.0
Vermieter	9.0
Miete	5.0
Photo	5.0
Spur	4.0
Nervosität	10.0
Schimmer	8.0
Meinung	7.0
Gedränge	8.0
Katastrophe	11.0
Engländer	9.0
Gespann	7.0
Nachmittag	10.0
Stolz	5.0
Gardine	7.0
Ratschlag	9.0
Offenbarung	11.0
Plätzchen	9.0
Schule	6.0
Vermutung	9.0
Zwischenfall	12.0
Klinik	6.0
Ausdauer	8.0
Beginn	6.0
Menschsein	10.0
Gesichtszug	11.0
Tierwelt	8.0
Dunkel	6.0
Leser	5.0
Angestellte	11.0
Gerede	6.0
Hundert	7.0
Kilometer	9.0
Heimweh	7.0
Papa	4.0
Einwohner	9.0
Traurigkeit	11.0
Streichholz	11.0
Bar	3.0
Gebiß	5.0
Onkel	5.0
Last	4.0
Fortschritt	11.0
Umweg	5.0
Kleinigkeit	11.0
Erschütterung	13.0
Lebensabschnitt	15.0
Besonderheit	12.0
Augenblicks	11.0
Braut	5.0
Zorn	4.0
Aufgabe	7.0
Tote	4.0
Zwang	5.0
Waage	5.0
Jüngste	7.0
Beantwortung	12.0
Unwissenheit	12.0
Gewissen	8.0
Pubertät	8.0
Nest	4.0
Person	6.0
Computerspiel	13.0
Rolle	5.0
Tor	3.0
Neugierde	9.0
Taschenlampe	12.0
Begrüßung	9.0
Lebende	7.0
Pracht	6.0
Doktor	6.0
Spitze	6.0
Publikum	8.0
Abendstunde	11.0
Donnerstag	10.0
Kuh	3.0
Verständnis	11.0
Mond	4.0
Wichtige	8.0
Szene	5.0
Abendbrot	9.0
Besitzer	8.0
Sammlung	8.0
Pflege	6.0
Gruppe	6.0
Süßigkeit	9.0
Orange	6.0
Klo	3.0
Häuschen	8.0
Osterhase	9.0
Maus	4.0
Mittelfeld	10.0
Zigeuner	8.0
Sofa	4.0
Handtuch	8.0
Draht	5.0
Senior	6.0
Ältestenrat	11.0
Häuptling	9.0
Schein	6.0
Kollege	7.0
Rede	4.0
Kellner	7.0
Blume	5.0
Jahreszeit	10.0
Gesichtsausdruck	16.0
Katze	5.0
Anteil	6.0
Vergessenheit	13.0
Milch	5.0
Versteck	8.0
Grab	4.0
Krieger	7.0
Fahrgast	8.0
Gras	4.0
Landkarte	9.0
Schwimmen	9.0
Aufruhr	7.0
Vorsicht	8.0
Höhle	5.0
Weihnachtszeit	14.0
Gesellschaft	12.0
Beispiel	8.0
Grad	4.0
Mulde	5.0
Kurs	4.0
Brötchen	8.0
Frühstück	9.0
Videokamera	11.0
Mütze	5.0
Reich	5.0
Kampf	5.0
Schacht	7.0
Pilot	5.0
Stall	5.0
Ware	4.0
Anzug	5.0
Pistole	7.0
Infusion	8.0
Arzt	4.0
Flugzeug	8.0
Bär	3.0
Deutsche	8.0
Uhu	3.0
Hahn	4.0
Rhythmus	8.0
Schöne	6.0
Unterstützung	13.0
Tresen	6.0
Selbstmord	10.0
Frühjahr	8.0
Abfahrt	7.0
Ferse	5.0
Elend	5.0
Knall	5.0
Euphorie	8.0
Erziehungsberechtigte	21.0
Herbst	6.0
Schaden	7.0
Fleck	5.0
Alter	5.0
Anfall	6.0
Absperrung	10.0
Meisterwerk	11.0
Sitzung	7.0
Balkon	6.0
Kapelle	7.0
Bank	4.0
Taxi	4.0
cm	2.0
Stroh	5.0
Gans	4.0
Vase	4.0
Essen	5.0
Haufe	5.0
Ast	3.0
Stamm	5.0
Topf	4.0
Denkmal	7.0
Laden	5.0
Maschine	8.0
Führer	6.0
Karawane	8.0
Relativitätstheorie	19.0
Birke	5.0
Moos	4.0
Beute	5.0
Hausarzt	8.0
Aufstieg	8.0
T	2.0
Leiter	6.0
Stadtbücherei	13.0
B	2.0
Hut	3.0
Landstraße	10.0
Befehl	6.0
Klasse	6.0
Lehrer	6.0
Busch	5.0
Lebensmittel	12.0
Bürger	6.0
Wohlstand	9.0
Schuldige	9.0
Naturschutzgebiet	17.0
Blech	5.0
Kurator	7.0
Papagei	7.0
Hochzeit	8.0
Elster	6.0
Paradies	8.0
Stirn	5.0
Narbe	5.0
Loch	4.0
Paar	4.0
Politiker	9.0
Chef	4.0
Unternehmen	11.0
Witwe	5.0
Kasten	6.0
Sonnenstrahl	12.0
Silhouette	10.0
Erste	5.0
Nachbar	7.0
Großvater	9.0
Wachstum	8.0
Nutz	4.0
Bühne	5.0
Kiste	5.0
Dienststelle	12.0
Techniker	9.0
Fund	4.0
Expedition	10.0
Dozent	6.0
Skepsis	7.0
Klinikum	8.0
Anfrage	7.0
Lunge	5.0
Tasche	6.0
Kittel	6.0
Passant	7.0
Zeuge	5.0
Regen	5.0
Rauschen	8.0
Lärm	4.0
Ferne	5.0
Erliegen	8.0
Schloß	6.0
Schale	6.0
Limousine	9.0
Kinderklinik	12.0
Kaserne	7.0
Geschrei	8.0
Werdegang	9.0
Erscheinungsbild	16.0
Ausstrahlung	12.0
Umriß	5.0
April	5.0
Landschaft	10.0
Standesamt	10.0
Afrikaner	9.0
Erbse	5.0
Schuß	5.0
Quadratmeter	12.0
Schlaganfall	12.0
Knopf	5.0
Scheibe	7.0
Anrufbeantworter	16.0
Kiosk	5.0
Kombination	11.0
Hauptstadt	10.0
Festung	7.0
Geburt	6.0
Schwierigkeit	13.0
Graben	6.0
Termin	6.0
Stockwerk	9.0
Infizierte	10.0
Ruf	3.0
Kassette	8.0
Start	5.0
Verstorbene	11.0
Diskette	8.0
Party	5.0
Konferenz	9.0
All	3.0
Holz	4.0
Maß	3.0
Auslieferung	12.0
Café	4.0
Gemäuer	7.0
Haupt	5.0
Eis	3.0
Hunger	6.0
Faxe	4.0
Saft	4.0
Leitung	7.0
Hinweis	7.0
Villa	5.0
Stadtrand	9.0
Tafel	5.0
Pulver	6.0
Dampf	5.0
Gefangene	9.0
Bibliothek	10.0
Mediziner	9.0
Salsa	5.0
Reiser	6.0
Waldrand	8.0
Jubel	5.0
Druck	5.0
s	2.0
Fell	4.0
Wirbel	6.0
Lektion	7.0
Wochenende	10.0
Vieh	4.0
Statist	7.0
Älteste	7.0
Sarg	4.0
Auserwählte	11.0
Nächste	7.0
Großmutter	10.0
Jüngling	8.0
Göttin	6.0
Fossil	6.0
Kreislauf	9.0
Verbrecher	10.0
Versager	8.0
Wurm	4.0
Star	4.0
Kindergarten	12.0
Tierfreund	10.0
Schutzengel	11.0
Scheiße	7.0
Schwein	7.0
Forschungsprojekt	17.0
Erholung	8.0
Energiequelle	13.0
Nachricht	9.0
Schoß	5.0
Übergang	8.0
Suche	5.0
Sicht	5.0
Schokolade	10.0
Auszeichnung	12.0
Erfolg	6.0
Opa	3.0
Geschäft	8.0
Abstammung	10.0
Charakter	9.0
Beziehung	9.0
Aufwand	7.0
Büro	4.0
Tee	3.0
Ultraschalluntersuchung	23.0
Retter	6.0
Auslöser	8.0
Streß	5.0
Alltägliche	11.0
Speicher	8.0
Rücken	6.0
Torte	5.0
Altersheim	10.0
Telefon	7.0
Gewinnspiel	11.0
Bohne	5.0
Dienst	6.0
Weihnachtsgeschenk	18.0
Kompaß	6.0
Schlag	6.0
Nase	4.0
Zugang	6.0
Verantwortung	13.0
Panik	5.0
Decke	5.0
Tempel	6.0
Vollkommenheit	14.0
Verabredung	11.0
Uni	3.0
Acker	5.0
Tour	4.0
Wesentliche	11.0
Geburtstag	10.0
Bekannte	8.0
Alkohol	7.0
Fahrkarte	9.0
Gabe	4.0
Gunst	5.0
Ahnung	6.0
Spätsommer	10.0
Stich	5.0
Hintern	7.0
Sonnenuntergang	15.0
Todesangst	10.0
Pädagogik	9.0
Geschenk	8.0
Service	7.0
Einbrecher	10.0
Kur	3.0
Kette	5.0
Kreuz	5.0
Mitleid	7.0
Bob	3.0
Rad	3.0
Idiot	5.0
Schachtel	9.0
Rückschlag	10.0
Schmuck	7.0
Kästchen	8.0
Volkshochschule	15.0
Rucksack	8.0
Agent	5.0
Jungs	5.0
Konversation	12.0
Boot	4.0
Mutti	5.0
Lied	4.0
Frucht	6.0
Gesetz	6.0
Haltung	7.0
Ansicht	7.0
Ausreißer	9.0
Job	3.0
Kohle	5.0
Mir	3.0
Schluß	6.0
Fest	4.0
Gräfin	6.0
Umgehungsstraße	15.0
Pack	4.0
Dummheit	8.0
Dummkopf	8.0
Helm	4.0
Deckung	7.0
Anzahl	6.0
Praktikum	9.0
Anspruch	8.0
Gut	3.0
Gold	4.0
Schnabel	8.0
Agentur	7.0
Planet	6.0
Trauma	6.0
Flecken	7.0
Kult	4.0
Dunkle	6.0
Glasscheibe	11.0
Erzählen	8.0
Schuljahr	9.0
Besinnung	9.0
Schlimmere	10.0
Einsetzen	9.0
Ansehen	7.0
Gelände	7.0
Motor	5.0
Befürchtung	11.0
Reifen	6.0
Straßenseite	12.0
Implantat	9.0
Impuls	6.0
Internet	8.0
Lichtstrahl	11.0
Schlacht	8.0
Städtchen	9.0
Hecke	5.0
Mikrofon	8.0
Siegerehrung	12.0
Pferd	5.0
Tempo	5.0
Gleis	5.0
Gleichgewicht	13.0
Lift	4.0
Halle	5.0
Knochenbruch	12.0
Sanitäter	9.0
Schuldgefühl	12.0
Bildungssystem	14.0
Lücke	5.0
Kerze	5.0
Herd	4.0
Schrei	6.0
Spion	5.0
Wein	4.0
Gitter	6.0
Terrasse	8.0
Oberkörper	10.0
Bewegung	8.0
Sonnenlicht	11.0
Unterlage	9.0
Einblick	8.0
Heirat	6.0
Strauch	7.0
Baumbestand	11.0
Gartenanlage	12.0
Lichtung	8.0
Bach	4.0
Luke	4.0
Beleuchtung	11.0
Öffnung	7.0
Schaufenster	12.0
Apotheker	9.0
Gerechtigkeit	13.0
Fläche	6.0
Willkür	7.0
Gesetzmäßigkeit	15.0
Seitenwand	10.0
Pille	5.0
Staat	5.0
Ausbildungszeit	15.0
Strömung	8.0
Mitarbeiter	11.0
Folge	5.0
Pfad	4.0
Wilde	5.0
Anliegen	8.0
Reisende	8.0
Nachfrage	9.0
Kennenlernen	12.0
Erweiterung	11.0
Schleier	8.0
Spalt	5.0
Fuchs	5.0
Zuneigung	9.0
Vielzahl	8.0
Erstarrung	10.0
Wild	4.0
Hälfte	6.0
Habgier	7.0
Song	4.0
Verhalten	9.0
Bestreben	9.0
Wildnis	7.0
Umwelt	6.0
Dreck	5.0
Unachtsamkeit	13.0
Fernglas	8.0
Gemeinschaft	12.0
Höchste	7.0
Hügel	5.0
Campingplatz	12.0
Cent	4.0
Rauch	5.0
Nässe	5.0
Frequenz	8.0
Bewußtlosigkeit	15.0
Fußboden	8.0
Können	6.0
Kreativität	11.0
Grenze	6.0
Schaf	5.0
Empfang	7.0
Kontur	6.0
Universum	9.0
Wettbewerb	10.0
Puppe	5.0
Lehrerin	8.0
Volksschule	11.0
Ehepaar	7.0
Ausklang	8.0
Fragezeichen	12.0
Locke	5.0
Schwachsinn	11.0
Friedhof	8.0
Glücksgefühl	12.0
Hering	6.0
Feld	4.0
Botschaft	9.0
Durst	5.0
Kehle	5.0
Artist	6.0
Bahnsteig	9.0
Prinz	5.0
Heiland	7.0
Eigensinn	9.0
Reis	4.0
Verspätung	10.0
Eden	4.0
Süden	5.0
Balken	6.0
Lebenssituation	15.0
Absicht	7.0
Dutzend	7.0
Kaninchen	9.0
Weiher	6.0
Arschloch	9.0
Fünf	4.0
Wirt	4.0
Baby	4.0
Breite	6.0
Taille	6.0
Lokal	5.0
Euro	4.0
Beerdigung	10.0
Sparbuch	8.0
Firma	5.0
Ehe	3.0
Glatze	6.0
Elefant	7.0
Apartment	9.0
Bescheid	8.0
Auftraggeber	12.0
Eisenbahn	9.0
